,HIF,Beta,Cluster
530,REGION PROPERTIES: STANDARD DEVIATION OF ECCENTRICITIES OF SIGNIFICANT REGIONS OF TUMOR_HE,0.007258323938915824,3
531,REGION PROPERTIES: STANDARD DEVIATION OF EXTENTS OF SIGNIFICANT REGIONS OF EPITHELIAL_HE,0.012830099104332814,14
534,REGION PROPERTIES: STANDARD DEVIATION OF EXTENTS OF SIGNIFICANT REGIONS OF STROMA_HE,-0.012355875304534691,3
535,REGION PROPERTIES: STANDARD DEVIATION OF EXTENTS OF SIGNIFICANT REGIONS OF TUMOR_HE,0.003910718861016772,3
542,REGION PROPERTIES: TOTAL CONVEX AREA (MM2) OF ESI_0080_HE,0.0068414057950585,1
543,REGION PROPERTIES: TOTAL CONVEX AREA (MM2) OF NECROSIS_HE,-0.007727474145881066,2
545,REGION PROPERTIES: TOTAL CONVEX AREA (MM2) OF TUMOR_HE,0.0014035016170897258,1
548,REGION PROPERTIES: TOTAL EULER NUMBER OF NECROSIS_HE,0.008780814959571281,2
549,REGION PROPERTIES: TOTAL EULER NUMBER OF STROMA_HE,0.002597156835044481,3
551,REGION PROPERTIES: TOTAL FILLED AREA (MM2) OF EPITHELIAL_HE,0.0004563472330440699,1
562,REGION PROPERTIES: TOTAL MINOR AXIS LENGTH (MM) OF ESI_0080_HE,0.0032300243412088404,22
564,REGION PROPERTIES: TOTAL MINOR AXIS LENGTH (MM) OF STROMA_HE,0.0018571576433354373,22
565,REGION PROPERTIES: TOTAL MINOR AXIS LENGTH (MM) OF TUMOR_HE,0.005301152976249017,22
574,TOTAL [CANCER CELLS] IN [EPITHELIAL] SELECTED BY [PLASMA_RADIUS_80]_HE,-0.0010204805526858609,1
578,TOTAL [CANCER CELLS] IN [ESI_0080] SELECTED BY [MACROPHAGE_RADIUS_80]_HE,0.0029118866037103858,1
580,TOTAL [CANCER CELLS] IN [ESI_0080]_HE,-0.0015686521814155608,1
581,TOTAL [CANCER CELLS] IN [STROMA] SELECTED BY [FIBROBLAST_RADIUS_80]_HE,0.010554146910408919,1
583,TOTAL [CANCER CELLS] IN [STROMA] SELECTED BY [MACROPHAGE_RADIUS_80]_HE,0.020453129373285067,1
592,TOTAL [FIBROBLAST CELLS] IN [ESI_0080]_HE,-0.01584790972387959,1
593,TOTAL [FIBROBLAST CELLS] IN [STROMA]_HE,-0.01775910640026366,3
595,TOTAL [LYMPHOCYTE CELLS] IN [EPITHELIAL]_HE,0.0354614916184965,1
596,TOTAL [LYMPHOCYTE CELLS] IN [ESI_0080]_HE,0.02356872100719918,1
598,TOTAL [LYMPHOCYTE CELLS] IN [TUMOR]_HE,0.00031299193934496074,1
600,TOTAL [MACROPHAGE CELLS] IN [ESI_0080]_HE,0.003456238321164577,1
602,TOTAL [MACROPHAGE CELLS] IN [TUMOR]_HE,0.008105072826995536,1
603,TOTAL [PLASMA CELLS] IN [EPITHELIAL]_HE,0.01890100927707653,1
604,TOTAL [PLASMA CELLS] IN [ESI_0080]_HE,0.015850921806098414,1
605,TOTAL [PLASMA CELLS] IN [STROMA]_HE,0.010289598221201538,1
606,TOTAL [PLASMA CELLS] IN [TUMOR]_HE,0.016836370375020886,1
